Time,Time Since Power-On,Charge-Enable Output Active,Discharge-Enable Output Active,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC)
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.700000,3.500000
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:46 PDT 2025,3756.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:47 PDT 2025,3757.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:48 PDT 2025,3758.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
Wed May 21 17:29:49 PDT 2025,3759.000000,1.000000,0.000000,0.000000,87.600000,3.500000
